DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200106304,02/02/2020 12:00:00 AM,01/31/2020 12:00:00 AM,1000,1,Central,153,1,310,BURGLARY,1822 1218 0344,28,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,500 S  SPRING                       ST,,"340,467","-118,252"
200614026,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,40,6,Hollywood,645,1,310,BURGLARY,1822 0329 0321 1601 0344 0325,0,X,X,210,RESTAURANT/FAST FOOD,,,AA,Adult Arrest,310,,,,7000    HOLLYWOOD                    BL,,"341,015","-1,183,425"
200208267,03/26/2020 12:00:00 AM,03/20/2020 12:00:00 AM,230,2,Rampart,231,1,310,BURGLARY,1202 1607 0342 0344 1309 1822 0202 0216,78,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,200 S  VENDOME                      ST,,"340,703","-1,182,832"
201004675,01/17/2020 12:00:00 AM,01/17/2020 12:00:00 AM,530,10,West Valley,1001,1,310,BURGLARY,0344 0216 1402,25,M,W,707,GARAGE/CARPORT,,,AA,Adult Arrest,310,998,,,19200    SATICOY                      ST,,"342,143","-1,185,534"
200106452,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,500,1,Central,163,1,310,BURGLARY,0344 0382 1822,57,F,H,201,JEWELRY STORE,,,IC,Invest Cont,310,,,,700 S  HILL                         ST,,"340,459","-1,182,545"
200106463,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,650,1,Central,111,1,310,BURGLARY,0344 1610 1822 0382 1414,26,M,W,733,BAR/SPORTS BAR (OPEN DAY & NIGHT),,,IC,Invest Cont,310,,,,900 N  HILL                         ST,,"340,644","-1,182,387"
200813946,09/10/2020 12:00:00 AM,09/08/2020 12:00:00 AM,1430,8,West LA,886,1,310,BURGLARY,1606 1403 1202 0321 0344 1822,66,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,2700    MCCONNELL                    DR,,"340,445","-1,184,035"
200106501,02/05/2020 12:00:00 AM,02/04/2020 12:00:00 AM,1000,1,Central,166,1,310,BURGLARY,0344 1218 1822 1605,61,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,600    SAN JULIAN                   ST,,"340,428","-1,182,461"
211104260,01/08/2021 12:00:00 AM,12/02/2020 12:00:00 AM,900,11,Northeast,1134,1,310,BURGLARY,0344 1822,0,X,X,702,OFFICE BUILDING/OFFICE,,,AO,Adult Other,310,,,,2700    MEDIA CENTER                 DR,,"341,089","-1,182,433"
200507248,03/16/2020 12:00:00 AM,03/15/2020 12:00:00 AM,2200,5,Harbor,504,1,310,BURGLARY,0329 0314 1607,59,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1500 W  204TH                        ST,,"338,449","-118,304"
200112448,05/31/2020 12:00:00 AM,05/29/2020 12:00:00 AM,1700,1,Central,163,1,310,BURGLARY,0352 1822 0344 0329 1609,44,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,700 S  BROADWAY,,"340,452","-1,182,534"
200815583,10/22/2020 12:00:00 AM,10/22/2020 12:00:00 AM,1700,8,West LA,857,1,310,BURGLARY,0344 1822 1606,32,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,1100    GLENVILLE                    DR,,"340,557","-1,183,928"
200109376,03/18/2020 12:00:00 AM,03/16/2020 12:00:00 AM,2250,1,Central,111,1,310,BURGLARY,0344 1822 2004 1202 0377 1420,67,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,310,,,,900    SUN MUN                      WY,,"340,655","-1,182,372"
201012924,09/06/2020 12:00:00 AM,09/06/2020 12:00:00 AM,1930,10,West Valley,1007,1,310,BURGLARY,0344 1606 1822,32,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,480,,,17000    BALTAR                       ST,,"342,165","-1,185,049"
200204056,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,200,2,Rampart,218,1,310,BURGLARY,2004 1609 0329,0,X,X,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,AA,Adult Arrest,310,,,,1100    LEMOYNE                      ST,,"340,757","-1,182,605"
201518783,12/18/2020 12:00:00 AM,12/17/2020 12:00:00 AM,2000,15,N Hollywood,1529,1,310,BURGLARY,1609 0321 1420,0,M,O,210,RESTAURANT/FAST FOOD,,,AA,Adult Arrest,310,,,,10500    VICTORY                      BL,,"341,849","-1,183,597"
201509188,04/24/2020 12:00:00 AM,04/22/2020 12:00:00 AM,2030,15,N Hollywood,1555,1,310,BURGLARY,0344 1607 0321 1420,33,M,W,123,PARKING UNDERGROUND/BUILDING,,,AA,Adult Arrest,310,,,,11000    LA MAIDA                     ST,,"341,587","-1,183,716"
200204222,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,519,2,Rampart,256,1,310,BURGLARY,1822 0344 1601 0216,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,600 S  UNION                        AV,,"340,565","-1,182,724"
200204267,01/03/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1730,2,Rampart,218,1,310,BURGLARY,1202 1822 1602,72,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1000 W  KENSINGTON                   RD,,"340,737","-1,182,571"
201207317,02/16/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1600,12,77th Street,1266,1,310,BURGLARY,1603 0344 1202,61,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,900 W  79TH                         ST,,"339,678","-1,182,893"
231207476,02/27/2023 12:00:00 AM,08/15/2020 12:00:00 AM,1,12,77th Street,1273,1,310,BURGLARY,1202 0329 1300,72,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,8800    HAAS                         AV,,"33,958","-118,317"
200204360,01/08/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1730,2,Rampart,202,1,310,BURGLARY,0342 0216 1602 0344 0352,19,X,X,216,SWAP MEET,,,IC,Invest Cont,310,,,,4600    SANTA MONICA                 BL,,"340,909","-1,182,893"
200204482,01/10/2020 12:00:00 AM,01/09/2020 12:00:00 AM,2225,2,Rampart,218,1,310,BURGLARY,0325 1822 0216 1601,0,X,X,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1500 W  SUNSET                       BL,,"340,759","-1,182,553"
200204540,01/11/2020 12:00:00 AM,01/07/2020 12:00:00 AM,20,2,Rampart,265,1,310,BURGLARY,0344 1601,34,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,2100    JAMES M WOOD                 BL,,"340,547","-1,182,772"
200112369,05/30/2020 12:00:00 AM,05/29/2020 12:00:00 AM,352,1,Central,143,1,310,BURGLARY,1607 0344 1822 1402 0352 1420,0,M,W,201,JEWELRY STORE,,,AO,Adult Other,310,998,,,400 S  BROADWAY,,"340,489","-1,182,499"
200204623,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,410,2,Rampart,204,1,310,BURGLARY,1822 1601 0344 0216 0202,45,M,I,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,900    MICHELTORENA                 ST,,"340,857","-1,182,812"
200204624,01/13/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1800,2,Rampart,205,1,310,BURGLARY,1822 1601 0344,37,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,900    MICHELTORENA                 ST,,"340,839","-1,182,781"
200204650,01/13/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1200,2,Rampart,235,1,310,BURGLARY,0344 1607,32,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,200 S  PARK VIEW                    ST,,"340,672","-1,182,741"
200204686,01/14/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1930,2,Rampart,249,1,310,BURGLARY,0344 1501,19,X,X,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,310,,,,600 S  BIXEL                        ST,,"340,541","-1,182,621"
